title,company,location,description,job_url,source,search_query,role_category,scraped_at
Digital Marketing Intern,RisingIndia उभरता भारत,India (Remote),"(Virtual) Internship Details/Roles and Responsibilities:
Virtual Interns would be closely working with our Founding Team members for selected verticals in one or more of the following functional areas:
· Digital Marketing, Content Strategy and graphic designing
· Market Research and Financial Analysis
· Human resource management and policy framework
· Join the tech team and create apps on various platforms 
· Vendor management, Buying & Merchandising
· Sales & Marketing, key account management
· Video recording, editing and publishing
· Journalism, interviewing, reporting, copy writing and networking
· Support Leisure, travel and tourism division
· Supply Chain, logistics and transportation
 Ideal Candidate:
PG/PhD/Master aspirant or experienced professional who thrives towards entrepreneurial career and have following characteristics:
Passion to work with Next StartUps
Proactive, responsive and good communication skills
Strong Willingness to learn sincerely
Internship period:
Strategically bifurcated into 3 phases to be exposed into various verticals starting with basic training and orientation program which will be mentored by founding team to assess and assign suitable profile (flexible tenure of 3 months with completion of 480 hours)
Work Location: This is a virtual internship and would be location immune
Work Timing: Flexible (We fix timelines you decide timings)
Work Days: Flexible (If not opted by default 40 hours a week)

Detail JD is available at hrcircle/sip or iip (Please read it carefully this is an unpaid internship and fill the form)",https://www.linkedin.com/jobs/view/4381203882/,linkedin,machine learning intern,ai_ml,2026-03-07 17:44:32.706528+00:00
Human Resources Intern,Inventory Masters,"New Delhi, Delhi, India (Remote)","Job Title: Human Resources Virtual Internship 
The GAO Group, USA & Canada www.TheGAOGroup.com 
The GAO Group is headquartered in NYC, USA, and Toronto, Canada, and its member companies are incorporated in both USA & Canada, and its member companies are leading suppliers of advanced electronics and network products for engineers worldwide. 

Job Description: 
Recruit and source candidates: Job boards, social media, headhunting• Post job openings on various recruitment platforms and university portals. 
Screen resumes and applications 
Schedule interviews for senior HR staff 
Manage communication through emails and LinkedIn with applicants and follow up with the candidates. 

Requirements: 
You are studying for or shall have a University degree in HR, Journalism, Business, Arts, or any programs providing strong English language training or candidates with strong English language skills. 
You shall be keen to learn, willing to work hard, maintain productivity, and be committed to the job. 
You shall have chosen HR as your desired career and are strongly interested in an intern opportunity related to HR. 

Benefits of this Internship Include: 
You gain real-world work experience at an internationally reputable high-tech company; 
Learn real-world knowledge, work ethics, team spirits; • Receive 3 certificates, and 
It is short & convenient: you can work from anywhere, which makes you much more employable and competitive in the job market. 

𝗛𝗢𝗪 𝗧𝗢 𝗔𝗣𝗣𝗟𝗬: https://lnkd.in/gAbHyhQ7
𝗧𝗢 𝗞𝗡𝗢𝗪 𝗠𝗢𝗥𝗘 𝗘𝗫𝗣𝗟𝗢𝗥𝗘: https://gaotek.com/",https://www.linkedin.com/jobs/view/4381365846/,linkedin,machine learning intern,ai_ml,2026-03-07 17:44:44.052754+00:00
API Testing Intern,SunsysTechsol Pvt. Ltd.,India (Remote),"API Testing Intern
Internship Opportunity: API Testing Intern
📍 Company: Sunsys Techsol Pvt. Ltd.
🌎 Location: Remote (PAN India)
🗓️ Duration: 6 Months
🕐 Timing: Flexible (Part-time, ~3 hours/day)
💸 Stipend: Unpaid
🎁 Perks & Benefits:
· Certificate of Completion
· Letter of Recommendation (LOR)
· LinkedIn Recommendation from Official Company Page
· Exposure to QA Processes, Test Case Design, and Bug Reporting
· Flexible Working Hours (Remote, Output-based)
🏢 About Sunsys Techsol Pvt. Ltd.:
Sunsys Techsol Pvt. Ltd. Is an innovation-driven organization working across IT Services, Renewable Energy, and Digital Solutions. We focus on delivering high-quality software solutions by ensuring rigorous testing and validation of applications. Our remote-first culture encourages analytical thinking and structured problem-solving.
👨‍💻 Role Overview:
We are looking for an API Testing Intern who is detail-oriented and interested in software quality assurance. The intern will assist in testing RESTful and SOAP APIs, validating responses, and ensuring data integrity across systems.
🔧 Key Responsibilities:
· Understand API endpoints and specifications
· Design and execute test cases for APIs
· Validate response data, status codes, and error messages
· Report defects and work with developers for issue resolution
· Assist in automation of API tests (Postman, SoapUI, or similar tools)
· Prepare testing documentation and reports
· Coordinate with QA and development teams for requirement clarification
✅ Required Skills:
· Basic understanding of API concepts (REST/SOAP)
· Analytical and problem-solving skills
· Good communication and documentation abilities
· Basic knowledge of MS Excel, Word, and PowerPoint
· Willingness to learn API testing tools and frameworks
🌟 Preferred/Bonus Skills:
· Experience with Postman, SoapUI, or similar testing tools
· Basic knowledge of JSON, XML, and SQL
· Understanding of SDLC and Agile methodology
· Familiarity with test automation concepts
🎓 Eligibility:
Pursuing or completed Bachelor’s degree in IT, Computer Science, Engineering, or related fields
Final-year students and freshers are welcome
Industry: IT Services and IT Consulting
Employment Type: Internship",https://www.linkedin.com/jobs/view/4381377207/,linkedin,machine learning intern,ai_ml,2026-03-07 17:44:52.279063+00:00
Data Analysis Trainee,MedTourEasy Mumbai,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381380127/,linkedin,machine learning intern,ai_ml,2026-03-07 17:45:02.988555+00:00
ML INTERN,Chordy.ai,"Nagpur, Maharashtra, India (Remote)","Company Description
 Chordy.ai transforms real-world conversations into a living, searchable memory by capturing spoken moments and converting them into usable formats such as transcripts, summaries, decisions, and action items. It organizes context over time, allowing users to recall details from their history, such as past discussions or commitments. Designed to help users stay present, Chordy.ai offers clear control and tools that ensure follow-through on actions and decisions. The platform empowers users to effortlessly manage conversations and their outcomes for better productivity.

 Role Description
 This is a remote internship opportunity for an ML Intern at Chordy.ai. The intern will assist in developing, training, and fine-tuning machine learning models to enhance transcription, summarization, and contextual linkage capabilities. Responsibilities include data preparation, algorithm development, model evaluation, and collaborating with the engineering team to integrate solutions into the platform.

 Qualifications
  Strong understanding of Machine Learning concepts, Algorithms, and Natural Language Processing (NLP).
Proficiency in programming languages such as Python, TensorFlow, or PyTorch for ML model development.
Experience with data preprocessing, analysis, and visualization using tools such as Pandas and NumPy.
Familiarity with deep learning frameworks and large language models (LLMs) is a plus.
Excellent problem-solving skills and a proactive approach to learning and experimentation.
Good communication and collaboration skills for working with cross-functional teams.
Currently pursuing or recently completed a degree in Computer Science, Data Science, Artificial Intelligence, or a related field.",https://www.linkedin.com/jobs/view/4381365836/,linkedin,machine learning intern,ai_ml,2026-03-07 17:45:12.679621+00:00
Digital Marketing Intern,Byte Camp,India (Remote),"Company Description
Byte Camp is a platform dedicated to fostering growth through knowledge-sharing and skill development. By offering online classes and opportunities for certifications, Byte Camp helps individuals enhance their expertise in various fields. Our mission is to build a community that encourages continuous learning, innovation, and professional growth.
Role Description

This is an Internship role for a Digital Marketing Intern at Byte Camp. The intern will assist the digital marketing team with tasks such as managing social media platforms, supporting online marketing campaigns, analyzing web traffic data, and helping execute digital growth strategies. The role also involves collaborating with team members across departments and contributing to marketing initiatives that promote Byte Camp’s programs and community.

Location: Remote / Work From Home
Duration: 1–3 Months Internship
Type: Unpaid Internship
Eligible Candidate: Students/ Freshers
Opportunity: High-performing interns may receive a PPO (Pre-Placement Offer) for a full-time role based on performance and contribution.

Responsibilities
• Support the planning and execution of digital marketing campaigns
• Conduct research on digital marketing trends and competitors
• Help create engaging content for social media and promotional activities
• Focus on marketing student initiatives.
Qualifications
• Knowledge of Digital Marketing, Online Marketing, and Social Media Marketing
• Strong communication and collaboration skills
• Positive attitude, eagerness to learn, and ability to work in a team environment
• Understanding of basic marketing principles; relevant coursework or internship experience is a plus
What You’ll Gain
• Hands-on experience in real digital marketing projects
• Opportunity to work with a fast-growing learning platform
• Internship Certificate upon successful completion
• Letter of Recommendation for outstanding performers
• Potential PPO (Pre-Placement Offer) based on performance
• Opportunity to build a strong professional portfolio
How to Apply
Interested candidates can apply through LinkedIn or send their CV/portfolio to academy@bytecamp.in",https://www.linkedin.com/jobs/view/4381361985/,linkedin,ai intern,ai_ml,2026-03-07 17:46:06.392678+00:00
Beginning Programmer-3 Year Contract,Davis School District,"Ajmer, Rajasthan, India (On-site)","Location

Data Processing Dept

Reference #

2026-483C

Close Date

03/09/2026

Location

Data Processing Dept

Reference #

2026-483C

Close Date

03/09/2026

Summary

Under the direction of the Information Systems Director and the supervision of a Lead Systems Analyst, this person will develop and maintain software for use by district personnel, students, and guardians throughout the district. The successful candidate should have experience with HTML5, CSS, JavaScript, C#, angular, bootstrap, and user interface design.

Description

Classified position is announced to all qualified applicants. Applications must be submitted no later than Monday, March 9, 2026. 8 hours per day/255 days per year/Table 18-Lane 1 (Information Systems Salary Table) This position includes excellent benefits: Career advancement path Vacation (21 days per year) Paid holidays (up to 10 per year) NOTE: THIS IS A 3 YEAR CONTRACT PROGRAMMING POSITION. WILL WORK ON SPECIAL PROJECTS UNDER THE DIRECTION OF THE SUPERINTENDENCY. (Promotions result in a 5% minimum increase) PREFERRED QUALIFICATIONS: 1. Working on (within 2 semesters) or have a Bachelor's Degree in Computer Information Systems, Computer Science, or equivalent education and experience. 2. Experience with, and a good understanding of the software development life cycle. 3. Understanding of database structure, concepts, and SQL. 4. Experience with HTML5, CSS, JavaScript, C#, JQuery, Angular, Bootstrap and XML. 5. Knowledge of Microsoft .Net technologies. 6. Experience with Visual Studio using MVC 6. Knowledge of PC hardware and software. 7. Experience in a Microsoft network environment. 8. Excellent verbal and written communication skills. 9. Ability to manage requests for changes to ensure resolution in a timely manner. 10. Troubleshooting/testing skills to identify source of errors. ESSENTIAL FUNCTIONS:

 Maintain regular and reliable attendance at the assigned work location and collaborate in person with district staff.
 Design, develop, test, and maintain software applications used by district personnel, students, and guardians.
 Analyze user requirements and collaborate with district staff to design technical solutions.
 Troubleshoot software and system issues and implement corrective actions.
 Maintain documentation related to applications, systems, and development processes.
 Respond to support and change requests in a timely manner.
 Work collaboratively with staff and district personnel on technology initiatives.
 Maintain regular and reliable attendance and work the assigned schedule.
 Perform related duties as assigned.
 Ability to sit and work at a computer for extended periods
 Occasionally lift or move equipment up to 25 pounds Equal Employment Opportunity The District is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, sex, disability, age, religion, sexual orientation, gender identity, or any other protected status under federal or state law. ADA Compliance In accordance with the Americans with Disabilities Act, the District provides reasonable accommodations to qualified individuals with disabilities. Applicants requiring accommodation during the application or interview process should contact the Human Resources Department. Essential Functions Statement The successful candidate must be able to perform the essential functions of the position with or without reasonable accommodation.

print page

« back",https://www.linkedin.com/jobs/view/4382394712/,linkedin,ai intern,ai_ml,2026-03-07 17:46:13.175751+00:00
AgriVaidic Internship,RisingIndia उभरता भारत,India (Remote),"About AgriVaidic
AgriVaidic is curated to integrate Agriculture, FMCG, Food technology, Nutrition Management, culinary, Yoga & wellness verticals to develop a healthy lifestyle. An initiative to help bring direct farm produce to home in the most sustainable and organic way. This is an incredible opportunity for any candidate to develop a first hand understanding of a young startup.

About the Internship
We’re looking for interns who have a deep understanding of agricultural and food processing practices and novel food technological ideas that can be tapped to harness benefits. They must work to help develop healthy, safe, and convenient food products. They should work to develop better methods of food preservation, better processing and packaging procedures, better storage and even better delivery processes. They must also research harmful food additives and develop substitutes in order to make sure foods are safe and healthy.

Who can apply
A foodie who has a passion towards FMCG or FoodTech, a zeal to learn while building entrepreneurial spirit, and is looking at utilizing skills for serving cultivators of the land
Generating new product ideas and recipes and modifying and improving existing recipes
Designing processes and machinery for the production of recipes on a large scale
Liaising with marketing staff
Ensuring that strict hygiene food safety standards are met
Identifying and choosing products from suppliers
Testing and examining samples
Writing reports.
Individuals with relevant skills and knowledge about the food and agro industries
Rewards/Perks
Certificate of completion - Internship
Flexible work days and work hours
The internship will be without any remuneration but a platform for immense learning 
No geographical limits, candidates can work from anywhere

If that feels like you, please complete the application form at https://risingindia.in/aviprogram (do select FMCG or agri as part of primary functional role while filling up the google form)",https://www.linkedin.com/jobs/view/4381207654/,linkedin,ai intern,ai_ml,2026-03-07 17:46:45.194390+00:00
Cybersecurity Intern,UM IT PRIVATE LIMITED,India (Remote),"Cybersecurity Intern (Paid)
Company: UM IT PRIVATE LIMITED
Location: Remote
Duration: 3 Months
Employment Type: Internship (Performance-Based Stipend)
Stipend & Benefits:
₹7,500 – ₹15,000 (Performance-Based)
Certificate of Internship
Potential full-time opportunity based on performance
Role Overview:
Gain hands-on experience in identifying vulnerabilities, monitoring systems, supporting risk assessments, and understanding real-world cybersecurity threats.
Key Responsibilities:
Assist in vulnerability assessments and basic penetration testing
Monitor systems for security risks
Support security audits and documentation
Research emerging cyber threats
Eligibility:
Students or recent graduates in Computer Science, IT, or Cybersecurity with basic knowledge of networking and security fundamentals. Familiarity with tools like Wireshark or Nmap is preferred.",https://www.linkedin.com/jobs/view/4382605152/,linkedin,ai intern,ai_ml,2026-03-07 17:46:53.407962+00:00
Machine Learning Intern (Paid),SportsBUZZ,India (Remote),"Machine Learning Intern (Paid)
Company: SportsBUZZ
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
Expert mentorship and live project exposure
Role Overview:
Work on real datasets to build and optimize machine learning models. Gain hands-on experience with predictive analytics, automation, and data-driven solutions.
Eligibility:
Students or recent graduates in Computer Science, AI, Data Science, or related fields with strong knowledge of machine learning and Python. Familiarity with TensorFlow, PyTorch, or Scikit-learn is preferred.",https://www.linkedin.com/jobs/view/4382600300/,linkedin,ai intern,ai_ml,2026-03-07 17:47:00.592406+00:00
